partner_id,name,website_link,area_sector,headquarters,logo_id,facebook_link,instagram_link,linkedin_link,biography,interests,username
30,Morrow LLC,http://www.lambert.net/,incentivize 24/365 markets,Kentview,9c87515f-bccb-4937-bc7d-0ca4614d72e4,https://www.mitchell.com/,https://mendoza.com/,https://www.berry-santiago.com/,"Investment risk door particularly assume away enjoy.
Prove never TV sit music defense entire. Cold draw treat laugh thank.
Gun arm effect affect safe commercial. Safe executive very.",['3D Modelling'],matthew15
31,Yang LLC,https://www.wilkinson-moore.biz/,harness holistic bandwidth,Jacksonton,0aa68434-d3ca-4547-b4f4-8a045d676221,http://griffin.com/,https://www.tate.org/,http://potter-smith.com/,"No option minute nothing staff think change. Provide talk price six can often. Chance shake discuss game employee nice.
Free pattern any information decade certain age. Compare sport these build.","['Data science', 'Integrative medicine', 'Biosignals', 'Artificial reality', 'Biomedical imaging']",patrick93
32,Meadows LLC,http://griffith-wilkins.com/,unleash virtual action-items,East Carolyn,3c738666-6cf0-4372-a98e-fbdf87628a79,https://lee.info/,https://www.taylor-olson.com/,https://www.riley.com/,Opportunity someone toward great thing seven. Class develop reveal would. View southern me yard strategy anyone.,"['3D Modelling', 'Scientific writing', 'Biomaterials', 'Hardware & robotics', 'Psychiatry']",jmartinez
33,Silva Inc,https://ryan.info/,transform back-end solutions,New Angelaberg,5cfa359a-6172-4309-a5e4-369a9df5bb5d,https://www.morris-wilkerson.com/,http://www.garrett-jimenez.com/,https://ford.com/,Senior interest high present. Then material national recently start card street. Single drive moment real reflect body.,"['Genetics', 'Cell & Tissue Engineering', '3D Printing']",tsmith
34,Lee LLC,http://garcia.info/,drive real-time models,Kennedystad,01ccb04f-94e8-4917-930b-b047f557df8a,http://www.cannon-padilla.com/,https://garcia.com/,http://www.robbins-petersen.com/,"Back ground end themselves manage Mr information blood. Type property job wonder white happy Congress.
New someone fight back door clear. Thousand now security couple generation use.","['Data modelling', 'Virtual reality', 'Biosignals']",vhess
35,Hammond Inc,http://nelson.com/,exploit dot-com users,Port Linda,07e4cc4d-1447-4ae7-9b64-1f9b649c6510,http://www.keller.com/,http://www.allen.com/,https://www.miller.net/,Expert shake material choice case material. Find total everyone skill traditional. Share tree article former position fill. Anyone speak anyone cold civil.,"['Bionic systems', 'Cell & Tissue Engineering', 'Biosignals']",margaret15
36,"Thompson, Bishop and Guerra",http://www.walter.com/,re-intermediate bleeding-edge architectures,Franktown,2a64aacc-910e-4a09-bc26-1c1d1f9a99c6,https://willis.com/,https://davenport.com/,http://www.kerr-parker.org/,"Treat need forward wish but happen professor.
Professor woman debate like image must. Discussion study grow know. Now west in knowledge trip.",['Neuroscience'],lindatorres
37,Taylor Inc,http://www.jones-stewart.com/,empower next-generation metrics,Port Ashley,32404394-a4cf-44de-8a1e-19ec822ca912,http://www.martin.com/,https://www.martin-garcia.com/,http://www.hicks-wilkins.com/,Place either both us news eight full look. Offer remember already keep allow move customer. Model field sea break.,['Integrative medicine'],dustinmeyer
38,"Aguirre, Vance and Lopez",http://www.dougherty.com/,aggregate rich functionalities,Murphyfort,164fce44-7071-4870-a1cb-3792e05ff5be,http://alexander.com/,https://www.mccarty.info/,http://young.com/,"Reveal worry stock candidate.
East investment serve Mr.
Side window father cultural. Look company establish.","['Ethics', 'Virtual reality']",handerson
39,"Travis, Brown and Garcia",https://holder.biz/,implement 24/365 metrics,Rossburgh,98efdc82-8cb4-46d5-9b69-83fe8958fc12,http://church.biz/,https://henry.com/,https://griffin.com/,Close owner owner until force reason soon. Affect many everybody process great like yes. Treat little ahead matter nice what whatever test.,"['Artificial reality', 'Telecommunications', 'Dentistry']",michelle57
40,Spencer-Garrett,http://kelly-hernandez.org/,re-contextualize intuitive models,East Kelsey,5dbac296-b3ad-41cd-ac7e-ddf1dba2a773,http://www.nelson-moran.com/,https://neal.net/,http://www.chang.com/,"Event player he. Who poor figure majority likely my question.
In all similar goal. Establish establish girl.",['Telecommunications'],ewilliams
41,"Pierce, Wong and Murphy",http://www.green.info/,productize strategic e-tailers,New Ashley,d9e67e7b-80dd-4422-83ad-a867122ad6d5,http://www.dean.info/,http://simpson-gregory.info/,https://www.white.com/,"Organization sound list yet product. Never stop its executive teacher. Phone religious various soon group.
Fight mouth usually form for.
Partner project heavy forget generation money only senior.","['Dentistry', 'Nuclear medicine', 'Artificial reality']",mjohnson
42,Chavez-Gordon,http://giles.org/,empower robust portals,New Vanessa,0098855a-2f6c-421d-9a10-8b98cd645ed5,https://www.mann.net/,https://perez.com/,http://www.miller.net/,"Society deep positive yeah cost number. Conference interesting process write country.
Term big keep let there think medical. Week amount story occur less adult. Area happy perform game.",['Biomedical imaging'],randy25
43,Hernandez and Sons,https://williams-jones.info/,unleash transparent applications,Loweland,7fdf62f5-bc48-41b9-8cd0-3b5740f564a5,https://www.christensen.net/,https://www.carter-johnson.com/,https://burke.net/,"Sell identify amount little perhaps program security. Task at news rest. Pull family to artist.
Reduce rich brother range growth. Drug industry difficult old.","['Data science', 'Nuclear medicine', 'Integrative medicine', 'Genetics', 'Bionic systems']",brendan44
44,Smith-Gonzales,https://www.miller.org/,grow web-enabled synergies,Joannmouth,7a2bf01b-28ad-4b33-8840-7c23e96956a5,http://gordon.info/,https://www.jordan.com/,http://www.pierce-savage.com/,"Crime public whom politics own wait. Which out cup item many democratic challenge lot. Heavy matter degree mind.
Attorney rich teach sport. Loss situation unit new car laugh.",['Hardware & robotics'],ggiles
45,Elliott-Shepard,http://www.rios.com/,transition dot-com markets,Donaldland,15788bfa-aa5b-4608-a22a-51a7425c486e,http://www.neal.com/,https://www.rojas.com/,http://vega-wilson.biz/,"Message travel particularly century. Social million threat what behind everyone night.
Daughter floor enter follow although.",['Data modelling'],pwilson
46,Roberts and Sons,http://www.campbell.com/,redefine open-source infrastructures,Gainesfurt,6913186f-dd69-4c72-aaf8-dd3e4c4c9584,https://mason-williams.net/,http://www.quinn-carpenter.org/,http://www.pearson.com/,Challenge police old. People have soldier cover into hear none.,['3D Modelling'],evelyn91
47,Lowe-Johnson,http://www.gomez.com/,syndicate bricks-and-clicks e-services,South Thomas,0a09a3b5-aa23-4a58-941b-bdf050675432,http://braun-mitchell.net/,http://cole-acosta.com/,http://romero.net/,Positive computer lawyer take local conference year. Window idea job left work. Hard learn begin high Mr. Hour only recent determine growth serious charge.,"['Artificial Intelligence', 'Biomedical imaging', 'Biosignals', 'Telecommunications']",garciaronald
48,Beck-Warner,https://www.doyle.net/,brand revolutionary methodologies,New Kristina,7161fdf0-c315-459e-956a-2be12f026505,http://white-fox.com/,https://www.valdez.net/,https://cardenas.com/,"Job buy activity. Include themselves similar fear artist entire nature.
Into star campaign town pay. Notice attention worker clear quality exactly. Else cost weight someone. Soon easy back.","['Exoskeletons', 'Machine Learning', 'Ethics', 'Nuclear medicine']",morrisamanda
49,Campbell-Nielsen,https://miles.com/,utilize user-centric metrics,South Pamela,ab48bcce-57b4-4019-9c3d-04f694150dcd,http://www.roman.info/,http://www.francis.net/,http://www.reid-miller.com/,Shoulder resource stage enough letter amount card example. Reality popular Congress hotel red anything various better. Law opportunity early rule no some seat information.,['Dentistry'],bryandawson
50,"Clark, Gould and Alvarez",http://www.patrick.org/,benchmark bleeding-edge relationships,Lake Christopher,3b787bed-1471-423d-93c8-0a60231a0ed5,http://www.garcia.com/,http://garcia-taylor.org/,http://jones.com/,Live fly argue reach. Quality radio toward draw purpose describe. From his blue response game sport.,"['Cell & Tissue Engineering', 'Integrative medicine', 'Aerospace medicine']",joediaz
51,Crawford PLC,https://www.woods-gomez.com/,revolutionize impactful info-mediaries,Lake Peter,c9492a44-9d60-42a7-ae77-af64577ea6cd,http://harris-smith.com/,http://morrison-rogers.com/,https://barber.com/,"Arm hope perform structure child. Letter information officer old use. Action new sign often than available.
Hot easy chair back. Media space clearly whom boy old.",['Artificial Intelligence'],diane71
52,Lozano Ltd,http://mcdaniel.com/,exploit mission-critical infrastructures,Lake Paige,aace4f8b-b162-4c0c-9e14-c5e3e66e952a,https://www.patel-huynh.info/,https://parker.biz/,http://mcdonald.biz/,"Question management deep ten suddenly. Artist treat off central authority Democrat feel. Computer center nature performance consumer son board.
Safe each as table. Sister dark news per.",['Aerospace medicine'],kellymiller
53,Harmon PLC,http://www.hopkins-page.com/,enhance out-of-the-box bandwidth,Nancyville,8b41a659-143c-4f81-8ff7-ceadb2234fe1,http://roy.com/,https://dickson.com/,http://www.frederick.com/,"Son yeah be power what. Plan arm yes room the.
Face list able star area result hot. Reach general bad our. Republican size economic go international hotel building right.","['Artificial Intelligence', 'Machine Learning']",chad35
54,Roman Ltd,https://www.cowan.info/,evolve value-added portals,New Travis,40b01766-84f5-4ded-8b29-9a42386696fc,https://www.holmes.biz/,http://brown.net/,http://baker-baldwin.net/,Go from stuff bill. Recently born news nearly be successful. Professional according different time bill unit.,['Scientific writing'],georgejason
55,"Pratt, Smith and Hall",http://www.goodman-frank.com/,repurpose real-time synergies,Morrismouth,2b6f2822-7a2a-4026-bd9d-afdb2c99a12f,http://www.tyler-hill.com/,http://www.frazier.org/,https://meyer-carr.com/,"For five example job physical eight. Her election data establish phone. Past return force floor listen allow.
Lay material billion paper. Fund before trouble unit certainly yet sing bring.",['Surgery'],jamesgonzales
56,"Richardson, Brennan and Carr",http://www.reed.info/,target world-class synergies,Aguilartown,1ca5441a-eeeb-488c-9f47-596f95f2b7dc,http://knight.com/,https://reed.com/,https://robbins.com/,Stay senior company throughout per evening enter. Citizen scientist arrive this somebody boy focus.,"['Epidemics', 'Cleantech', 'Nuclear medicine']",ianyoung
57,Hernandez Inc,https://www.benton.com/,syndicate 24/7 synergies,Stephenfort,bc4bb203-fc4b-486d-87c0-a56bc7bcb64b,http://www.martin.com/,http://www.soto.com/,http://dickson.com/,"Loss note value. Direction court his office tax. Space fish vote.
Lawyer interest education majority under their third most. Then city free candidate try. Fast fish meet anything quickly join.","['Integrative medicine', 'Genetics', 'Bionic systems', 'Exoskeletons']",vhines
58,Scott-Snyder,http://www.callahan-mcintyre.net/,orchestrate best-of-breed functionalities,Jenniferstad,42690b53-fe8a-461c-8bae-23eada495cfb,http://www.williams.biz/,https://graham-mccarthy.com/,http://clark.com/,"Skin run type stop operation food dinner. Say story TV project across class western lot.
Leader know meeting within wrong professor throw. Official very though growth half.","['Neuroscience', 'Artificial Intelligence', 'Biomaterials']",jennifer96
59,Larsen Inc,https://braun.com/,deploy magnetic web-readiness,South William,cf1ad6c3-436a-4b7a-9dc1-670341ddd25d,https://edwards.com/,http://www.woods-lamb.com/,http://www.thompson.net/,"Although thus himself election. Myself PM middle view.
Book environmental early candidate which. Activity role summer floor throughout.","['Epidemics', 'Surgery']",ortizkelly
60,Stafford Group,https://gaines.com/,iterate bleeding-edge e-services,New Tamara,251df199-ff22-417b-88ee-f9f5ce5cac33,http://howell-hartman.com/,http://www.scott-price.info/,http://chandler.com/,Task film camera past performance up pay. Hold indeed price safe staff just. Computer surface political almost help run relationship.,"['Ethics', 'Artificial reality']",nathanroberts
61,"Carter, Webster and Chen",https://www.strickland.biz/,synergize best-of-breed platforms,Lynnmouth,8697c12b-3ba3-4342-81fa-f0726cc9d10d,http://www.maddox.biz/,http://hansen-roberts.info/,http://harmon.com/,"Card get ok name cause today tell. Car image candidate without friend do. Investment music station game.
Six long need. Develop such form yet of close. Animal several hot back seven all.","['Biomedical imaging', 'Integrative medicine', 'Psychiatry']",clamb
62,Dougherty-Gilmore,http://mora-chan.com/,extend viral info-mediaries,New Holly,95a2c4f1-87a0-409b-910a-6c63e4133509,https://campbell.com/,http://barnes.org/,http://diaz.biz/,"But director certain fine country doctor idea training. Summer eight nearly sound floor clear upon.
Congress partner all purpose. Job boy wife article deep. Purpose between his perform.",['Dentistry'],rmccarthy
63,Flynn PLC,http://butler.com/,transform distributed platforms,Lake David,f33c237e-e9d2-44f6-b242-2ec73112ca8a,http://www.cole.net/,http://www.levine.com/,https://www.garcia.com/,"Us once group policy. Yourself nothing capital form research prepare PM.
Card north foot help live case collection. Leave then whose think dark down no. During feeling owner arrive.","['Aerospace medicine', 'Cell & Tissue Engineering']",wilsonheather
64,Rose and Sons,https://www.robertson.com/,leverage cross-media e-business,North Teresa,477f469e-aa3f-47d4-ae02-2b178d42065b,https://bowers.com/,http://lawson-costa.com/,http://wang-delgado.biz/,Front really well world their. His front whom example time. Loss turn next strategy ok project kind. People shake rise commercial since reason specific exist.,['Cell & Tissue Engineering'],lhicks
65,"Crane, Blevins and Jacobson",https://www.baker-harris.com/,architect end-to-end e-business,Port Josephton,a927360d-517d-48e6-ad94-6cd96fa6e862,http://baker.com/,https://ferguson-adams.com/,http://www.martinez.com/,"Of positive leader benefit last. Son born the two. Produce because body law garden run I.
Really science sing every happen. Instead later treatment do. Suddenly half rock trade.",['Biosignals'],ggomez
66,Crawford-Bailey,https://www.rodriguez.com/,harness efficient e-business,New Gabriella,ec52701f-3479-4c90-b06d-7a9dc5ee717e,https://ward.biz/,http://www.andrews-flores.com/,http://www.mercado.com/,"Store able short. Top clear interesting owner really pretty. Carry class woman consider cultural director human.
Trial bar month growth wind business skill. Husband home that your least.","['Psychiatry', 'Integrative medicine', 'Machine Learning', 'Data modelling', 'Dentistry']",ujohnson
67,"Cohen, Myers and Powers",http://koch-roberts.com/,drive value-added mindshare,Mcintoshborough,7da60171-c01c-4e12-913b-8257c64f3143,https://henry.com/,https://white-randall.biz/,https://www.dillon.org/,Situation ahead modern bag also. Raise available probably commercial become thank course. Full find guess view star interview. Society contain huge so well government.,"['Telecommunications', 'Surgery', 'Data modelling', 'Neuroscience', 'Machine Learning']",francisruth
68,Cain-Schroeder,http://moore.com/,aggregate end-to-end e-commerce,Moorefurt,9081d4ca-9b5d-44a0-94fb-3b2dbda33157,http://www.howell-hughes.info/,https://www.johnson.org/,http://www.reed-gilbert.biz/,List it necessary by control. Eat another model for couple however easy piece. Particular adult speech ball suffer hand result.,"['Surgery', 'Neuroscience']",saraprice
69,Love-Jordan,https://reyes-martinez.org/,revolutionize mission-critical experiences,Lake Kelseyborough,7457f879-43cd-409f-b9bd-1527d6c52234,https://www.taylor.biz/,http://www.clay-hunter.info/,https://davis.org/,"Hot night billion consumer research particularly. Throughout general assume size hair close culture.
Partner see maybe however stand.","['Surgery', 'Neuroscience', 'Exoskeletons', 'Integrative medicine']",brandimoore
70,"Sanchez, Davila and Hughes",http://carroll.com/,facilitate open-source applications,East Stephenview,620ec978-1e5e-4edb-a286-61ca6627c67f,http://hughes-phillips.org/,http://www.mclean.com/,https://bailey-williamson.com/,"If notice member process.
Minute though perform morning base. Wall type fire.
Soon region raise parent between open guy cut. Seem return discover gas upon name end.","['Artificial reality', 'Genetics', 'Ethics', 'Nuclear medicine', '3D Modelling']",nelliott
71,"Graham, Cardenas and Lambert",https://www.rowe-davis.com/,benchmark transparent mindshare,Port Michelle,b54b70c3-76ae-4b9c-9c8b-c37d060f9d2c,https://lowe.com/,http://acosta.com/,http://williamson.biz/,Shake save issue security mouth population heavy. Somebody single produce during. Child tonight foreign involve worker teacher.,"['Cell & Tissue Engineering', 'Surgery']",gtanner
72,"Little, Gallagher and Palmer",https://mcclure.com/,synthesize efficient partnerships,South Ryan,63c9d138-e306-4829-b6ec-60964a896b45,http://sosa.com/,https://www.smith.com/,http://www.crawford-lopez.com/,"Smile late forget. Feel I water. Administration mention us risk last attention.
Out plan production court run. Various effect director clearly positive. Behind close lay. Yard former agent.","['Integrative medicine', 'Data science', 'Cleantech']",sabrina70
73,Figueroa-Marshall,https://webb.com/,extend transparent partnerships,Jackstad,d174c878-ca75-4856-b383-fc974e837f34,http://www.smith.com/,https://washington.com/,http://fletcher-douglas.biz/,True realize next Mr war. Term per mind national trial stand. Discussion treatment measure condition almost social.,"['Neuroscience', 'Genetics', 'Ethics', 'Psychiatry']",jared40
74,Anderson Inc,http://www.fields-robinson.com/,benchmark bricks-and-clicks mindshare,Port Teresa,0d01448e-1896-4a28-b77d-1fb063a222a8,http://blake.com/,http://lee-white.com/,http://williams.com/,"Suddenly across article.
Resource PM enter police spend understand. Kitchen stop break long. Surface you network this situation less true.
Ask future far station.",['Virtual reality'],michaelgoodwin
75,Strong PLC,https://mccall.biz/,grow user-centric technologies,New Cathy,b44493eb-f761-43a3-97b3-3bcdedb770ca,http://www.schultz.com/,https://www.paul.biz/,https://www.todd.com/,"Want instead forward partner manage yes already. Size performance laugh matter student between seem.
With travel machine explain. Yeah experience watch itself. Appear current grow particularly.","['Virtual reality', 'Artificial reality', 'Machine Learning', 'Ethics', 'Epidemics']",kristina58
76,Patel-Johnson,http://www.moore-johnson.info/,maximize sticky paradigms,Nortonbury,a58c4697-b231-4191-9103-fc27161ec96d,https://www.chung.net/,https://rodriguez-adams.net/,https://www.kennedy.info/,Itself under act improve worry. Interesting administration attention try best drive window after.,"['Surgery', 'Biomedical imaging', 'Machine Learning', 'Biosignals']",lopezjocelyn
77,"Rodriguez, Simpson and Mccormick",https://www.flowers-woods.com/,architect customized experiences,Bishopshire,e946da66-df12-41c4-b0f8-3ca299b19a80,http://matthews.biz/,http://morales.com/,https://reed.com/,"Year project attention better she team force dog. People save create hard.
Or successful green day make. Good rise data certainly hospital she they outside. Drug none from very gun wear sell.","['Data modelling', 'Integrative medicine', 'Virtual reality', 'Aerospace medicine', 'Telecommunications']",ypope
