StartNode,Relationship,EndNode,Id
2634,GIVES,2634e#cheryl18,54
briansmith,GOES_TO,2202,55
kwalsh,GOES_TO,273,56
marcusrogers,HOSTS,1345,57
christopherbarnes,GETS,1831e#christopherbarnes,58
1400,GIVES,1400e#sarahcummings,59
2689,GIVES,2689e#lisa51,60
1313,IN_TYPE,Roundtable,61
aaronrowe,GETS,26e#aaronrowe,62
carneydavid,FOLLOWS,melissa35,63
brownamanda,GOES_TO,1491,64
renee84,GETS,36e#renee84,65
1570,GIVES,1570e#lisa31,66
anthonyjohnston,GOES_TO,1751,67
1839q1,ASKED_IN,1839,68
jacob08,GETS,588e#jacob08,69
814,GIVES,814e#donald81,70
gina57,GOES_TO,774,71
dsilva,GOES_TO,2378,72
allison90,GOES_TO,1506,73
1203,GIVES,1203e#danielleanderson,74
peterjones,GOES_TO,1361,75
350,GIVES,350e#ythomas,76
jessica89,FOLLOWS,andrew85,77
2618,GIVES,2618e#turnerdavid,78
1253,GIVES,1253e#mannsusan,79
kristinaallen,FOLLOWS,sharonsullivan,80
shermanmaria,FOLLOWS,wattscalvin,81
1548,GIVES,1548e#sanderschristopher,82
lisa94,GOES_TO,1514,83
andrew53,GOES_TO,126,84
dbrown,GOES_TO,1627,85
1754,GIVES,1754e#owelch,86
2038,GIVES,2038e#dustinlopez,87
floresdawn,GOES_TO,2963,88
william32,GETS,839e#william32,89
dawsonstacey,GETS,216e#dawsonstacey,90
ojames,GOES_TO,133,91
vmartin,GOES_TO,422,92
cponce,GOES_TO,1060,93
teresacastro,GETS,618e#teresacastro,94
ericfowler,GETS,1913e#ericfowler,95
1318,GIVES,1318e#abigail14,96
seandavis,PRESENTS,1146,97
5,GIVES,5e#ualvarado,98
962,GIVES,962e#darrenallen,99
donnaroberts,FOLLOWS,pennywhitaker,100
loricarlson,GOES_TO,2376,101
1,GIVES,1e#susan72,102
lorischmidt,GOES_TO,1101,103
murphyjason,GETS,747e#murphyjason,104
2871,GIVES,2871e#lisathomas,105
2244,GIVES,2244e#holmesadam,106
mannsusan,GETS,672e#mannsusan,107
murphydiana,GETS,2021e#murphydiana,108
683,GIVES,683e#alishapatton,109
mcintyrekevin,GETS,1947e#mcintyrekevin,110
michael29,GOES_TO,2320,111
hernandeztodd,GOES_TO,1974,112
cindymurphy,FOLLOWS,felicia05,113
michaelwilliams,GETS,1789e#michaelwilliams,114
arodriguez,GETS,2745e#arodriguez,115
emma66,GETS,1657e#emma66,116
jennifer25,GOES_TO,2770,117
1063,GIVES,1063e#teresafletcher,118
1823,GIVES,1823e#garciamelissa,119
danielreyes,GOES_TO,2770,120
bellcurtis,GOES_TO,1956,121
coxrobert,GETS,1611e#coxrobert,122
maria06,GETS,436e#maria06,123
2744,GIVES,2744e#jcrane,124
frankmontgomery,HOSTS,301,125
1265,GIVES,1265e#victor00,126
16,GIVES,16e#phillipgeorge,127
quinnkathleen,GOES_TO,2018,128
heidinguyen,FOLLOWS,lhicks,129
xhumphrey,GOES_TO,770,130
jason14,GETS,2426e#jason14,131
stevenanderson,GOES_TO,945,132
2683,GIVES,2683e#phelpsnicole,133
karenshields,GOES_TO,835,134
whitericky,GOES_TO,2003,135
omartinez,GETS,118e#omartinez,136
drichardson,GETS,257e#drichardson,137
wlarson,GOES_TO,786,138
qjones,PRESENTS,323,139
hodgesbenjamin,GETS,526e#hodgesbenjamin,140
2910,GIVES,2910e#lgonzalez,141
martinezmary,GOES_TO,2683,142
mckeemaxwell,FOLLOWS,reginald22,143
drussell,GOES_TO,59,144
jroberson,GOES_TO,915,145
deborahhamilton,GOES_TO,2303,146
coxkyle,FOLLOWS,margaret35,147
2231,GIVES,2231e#nicholas32,148
2003,GIVES,2003e#phall,149
barnescourtney,GOES_TO,2088,150
449q1,ASKED_IN,449,151
kyle24,GOES_TO,521,152
antonio82,GOES_TO,2305,153
1201,GIVES,1201e#mariahwashington,154
trichardson,GOES_TO,2126,155
2644,GIVES,2644e#robertwright,156
2573,GIVES,2573e#johnsondanny,157
jacob37,GOES_TO,1215,158
yvette33,PRESENTS,577,159
hcooke,GOES_TO,2064,160
815,GIVES,815e#reginawilkins,161
gjohnson,GOES_TO,2768,162
qcoleman,GETS,2231e#qcoleman,163
1309,GIVES,1309e#gordonsherry,164
liuemily,GETS,2064e#liuemily,165
krystaljohnson,GOES_TO,1868,166
ladkins,GETS,63e#ladkins,167
542,GIVES,542e#joyce90,168
2719,GIVES,2719e#joshua40,169
raycarter,GOES_TO,862,170
yabbott,GETS,2384e#yabbott,171
kendraparker,GOES_TO,2861,172
leahrobertson,GOES_TO,1130,173
stewartjoshua,GOES_TO,1185,174
taylor67,GOES_TO,1946,175
fisherhaley,GOES_TO,534,176
phillipcollins,GETS,2266e#phillipcollins,177
yolandareynolds,FOLLOWS,tinasmith,178
jaime57,GOES_TO,1436,179
barbara24,GOES_TO,249,180
ccunningham,FOLLOWS,john65,181
886,GIVES,886e#mistypayne,182
460,GIVES,460e#staceythomas,183
martinbrian,PRESENTS,152,184
42,GIVES,42e#lestacy,185
wilsonthomas,GETS,908e#wilsonthomas,186
2503,GIVES,2503e#marymiller,187
1954q2,ASKED_IN,1954,188
kimberlyflores,GOES_TO,1907,189
jonesrandall,GETS,231e#jonesrandall,190
amyjohnson,GETS,208e#amyjohnson,191
kimberlygentry,GETS,1460e#kimberlygentry,192
tracey54,GETS,1055e#tracey54,193
tina43,GOES_TO,2895,194
rodriguezdustin,GETS,1594e#rodriguezdustin,195
2255,GIVES,2255e#bvincent,196
omartinez,GETS,1883e#omartinez,197
fletcheredward,GETS,1506e#fletcheredward,198
2954,GIVES,2954e#valeriemoreno,199
lhart,GETS,2149e#lhart,200
stephaniewilliams,GETS,1917e#stephaniewilliams,201
frivera,PRESENTS,872,202
ronald50,GOES_TO,1191,203
1387,GIVES,1387e#dwayne50,204
larajames,PRESENTS,287,205
lbowen,GETS,2099e#lbowen,206
qmoore,HOSTS,366,207
kfoster,GETS,2970e#kfoster,208
jcamacho,FOLLOWS,jeremy97,209
hickmanjason,FOLLOWS,jennifer75,210
2101,GIVES,2101e#jasontrujillo,211
1371,GIVES,1371e#jefferymoore,212
matthew55,GOES_TO,2792,213
jerome46,GETS,2052e#jerome46,214
georgeschaefer,GETS,2229e#georgeschaefer,215
kimberlyjohnson,GOES_TO,2025,216
simpsonnorman,FOLLOWS,lynnbailey,217
2158,IN_TYPE,Roundtable,218
299,GIVES,299e#andrew94,219
484,GIVES,484e#wunatalie,220
pateldonald,GETS,663e#pateldonald,221
thompsonjames,FOLLOWS,kingdiana,222
popenicholas,GETS,874e#popenicholas,223
isabella50,GETS,389e#isabella50,224
katie57,FOLLOWS,scottdavis,225
carlsonmatthew,GOES_TO,1092,226
1178,GIVES,1178e#natashajones,227
uschneider,GOES_TO,2652,228
1304,GIVES,1304e#waguilar,229
hollandemily,GETS,1557e#hollandemily,230
marcuscook,PRESENTS,2542,231
2678,GIVES,2678e#kevinyoung,232
722,GIVES,722e#jerrystewart,233
natasha42,FOLLOWS,christine89,234
rsims,GETS,1737e#rsims,235
catherinehernandez,GETS,752e#catherinehernandez,236
blackmichael,GOES_TO,1476,237
rachelmartinez,FOLLOWS,ericpearson,238
ruben76,GETS,881e#ruben76,239
daryljohnson,GOES_TO,2938,240
margaretjoseph,GOES_TO,2203,241
davisdarrell,PRESENTS,1018,242
michael65,GOES_TO,120,243
2157,GIVES,2157e#valeriebates,244
christian27,FOLLOWS,handerson,245
jesseevans,GETS,153e#jesseevans,246
johnsoncarla,GETS,886e#johnsoncarla,247
horneheather,GETS,2498e#horneheather,248
568,GIVES,568e#samantha56,249
1090,GIVES,1090e#april95,250
lestacy,GOES_TO,2242,251
2463,GIVES,2463e#dpatel,252
ibrooks,GOES_TO,1784,253
ncooper,FOLLOWS,ehopkins,254
glenn67,GETS,971e#glenn67,255
dominguezsarah,GOES_TO,903,256
rodney09,GOES_TO,2458,257
johnsonrandall,GETS,1281e#johnsonrandall,258
ojohnson,PRESENTS,5,259
phernandez,FOLLOWS,utaylor,260
guerreroshannon,GOES_TO,215,261
michael54,GETS,1490e#michael54,262
hwalters,FOLLOWS,melissa35,263
2737,GIVES,2737e#logan02,264
pbarton,GETS,2366e#pbarton,265
1452,GIVES,1452e#waremary,266
2084,GIVES,2084e#tpalmer,267
abigailperez,FOLLOWS,nichole47,268
matthewford,FOLLOWS,davidlopez,269
danielfrank,GETS,2074e#danielfrank,270
sarahwade,GOES_TO,215,271
1331,GIVES,1331e#rubenwebb,272
2270,GIVES,2270e#kimberly33,273
2218,GIVES,2218e#mclaughlinmichelle,274
oholt,GOES_TO,1688,275
patrickroger,GETS,143e#patrickroger,276
2161,GIVES,2161e#pflynn,277
david83,GOES_TO,2104,278
zanderson,FOLLOWS,christianjeffrey,279
295,GIVES,295e#adamsrichard,280
wellsrachel,FOLLOWS,donaldarias,281
aschneider,GETS,1341e#aschneider,282
aking,GOES_TO,229,283
proctordonald,GETS,375e#proctordonald,284
qdaniels,FOLLOWS,crosbyjames,285
devin21,GOES_TO,2102,286
matthew84,FOLLOWS,margaret15,287
vgarcia,GOES_TO,2407,288
nwilliamson,GETS,2753e#nwilliamson,289
russellrodriguez,FOLLOWS,danielbond,290
1373q2,ASKED_IN,1373,291
morrisonamy,GOES_TO,437,292
adamsrichard,GOES_TO,1541,293
caustin,FOLLOWS,curtisjustin,294
trevor35,GETS,1898e#trevor35,295
jamesedwards,FOLLOWS,grahamkimberly,296
adam02,GOES_TO,2345,297
stevensonmichelle,GETS,1203e#stevensonmichelle,298
glennfoster,GOES_TO,440,299
1379,GIVES,1379e#leebryan,300
brian39,GOES_TO,2694,301
cbrown,GOES_TO,2082,302
castillorachel,GETS,787e#castillorachel,303
2814,GIVES,2814e#hshaw,304
aking,GETS,767e#aking,305
norrismichael,GETS,950e#norrismichael,306
646,GIVES,646e#kevans,307
russelljordan,PRESENTS,2186,308
pamela66,GETS,2168e#pamela66,309
reyesnancy,FOLLOWS,fosterscott,310
lauren04,GOES_TO,2248,311
mclaughlincaleb,GOES_TO,2681,312
keith81,GETS,67e#keith81,313
jessicarodriguez,FOLLOWS,morrisamanda,314
sophiamiller,GETS,1575e#sophiamiller,315
1589,GIVES,1589e#brian78,316
818,GIVES,818e#sreynolds,317
kriddle,FOLLOWS,josephandrea,318
jimenezgerald,GETS,2993e#jimenezgerald,319
derrickolson,GOES_TO,1901,320
kellerwilliam,GETS,2371e#kellerwilliam,321
robertskathy,GOES_TO,2581,322
jennifer74,GOES_TO,2099,323
henryanne,GETS,2315e#henryanne,324
nwilson,FOLLOWS,gspencer,325
alishapatton,FOLLOWS,sburgess,326
kathleenowens,GOES_TO,2692,327
leahholmes,GETS,2350e#leahholmes,328
rebecca93,GETS,2813e#rebecca93,329
ddavis,PRESENTS,544,330
cscott,GOES_TO,1948,331
lambertjoshua,GETS,2525e#lambertjoshua,332
sydneymercer,GOES_TO,91,333
salazaralexandria,GOES_TO,2927,334
987,GIVES,987e#qarnold,335
maydarrell,GOES_TO,2011,336
madisoncalderon,FOLLOWS,zwaters,337
heather34,GOES_TO,1549,338
jesseward,FOLLOWS,connortorres,339
lgriffin,GETS,49e#lgriffin,340
rsullivan,GOES_TO,2572,341
milleramber,GETS,412e#milleramber,342
614,GIVES,614e#baldwinchristopher,343
rbrown,GETS,1382e#rbrown,344
msmith,FOLLOWS,adamsluis,345
lwoods,FOLLOWS,bowmansteven,346
shannon27,GETS,2576e#shannon27,347
bjackson,FOLLOWS,nsanders,348
nchaney,FOLLOWS,cmosley,349
1378,GIVES,1378e#ylewis,350
wilcoxsandra,GETS,752e#wilcoxsandra,351
walkerjasmine,GETS,588e#walkerjasmine,352
2022,GIVES,2022e#ashley58,353
kylebanks,GOES_TO,2162,354
murraymatthew,GETS,960e#murraymatthew,355
2883q1,ASKED_IN,2883,356
richardcarlson,GETS,1854e#richardcarlson,357
michaelburke,GETS,1565e#michaelburke,358
709,GIVES,709e#lisagibson,359
xhubbard,GOES_TO,1240,360
thaynes,PRESENTS,2111,361
eburke,FOLLOWS,james61,362
sandersamber,FOLLOWS,nichole47,363
rebecca51,GOES_TO,2314,364
jennifer19,PRESENTS,1513,365
anthonymitchell,GOES_TO,70,366
632,GIVES,632e#ballardgerald,367
johnsonjonathan,GETS,978e#johnsonjonathan,368
qking,GETS,1178e#qking,369
troy71,GETS,688e#troy71,370
rebecca93,GOES_TO,1083,371
1826,GIVES,1826e#jamesdiane,372
dramos,FOLLOWS,acostamark,373
rbaker,GOES_TO,662,374
3000,GIVES,3000e#steve44,375
smithdavid,GETS,157e#smithdavid,376
john94,GOES_TO,200,377
mariotodd,FOLLOWS,bobby20,378
jenniferwilliams,GETS,268e#jenniferwilliams,379
reedkyle,GOES_TO,741,380
hsmith,GETS,2833e#hsmith,381
stevestewart,GETS,649e#stevestewart,382
gvargas,GOES_TO,1848,383
gregorylaura,GOES_TO,1439,384
zjohnson,GOES_TO,265,385
emilyhoward,GOES_TO,2604,386
laurenvasquez,GETS,2581e#laurenvasquez,387
250,GIVES,250e#johnsonsarah,388
danieljackson,FOLLOWS,rubengross,389
sbeck,GETS,1920e#sbeck,390
481,GIVES,481e#scott24,391
927,GIVES,927e#jenniferadams,392
slawson,GETS,2403e#slawson,393
2559,GIVES,2559e#patriciagomez,394
1315,GIVES,1315e#samuelandrews,395
matthewschneider,FOLLOWS,meyerjohn,396
joanne73,GETS,2885e#joanne73,397
michaelwilliams,GOES_TO,1789,398
2207,GIVES,2207e#leahholmes,399
1227q4,ASKED_IN,1227,400
hudsondaniel,GETS,654e#hudsondaniel,401
holdenmary,FOLLOWS,eddiethomas,402
housemichael,GETS,1783e#housemichael,403
bramos,FOLLOWS,nathanroberts,404
1883q3,ASKED_IN,1883,405
qpham,GOES_TO,1204,406
nmartinez,PRESENTS,926,407
628,GIVES,628e#stephanie05,408
842,GIVES,842e#tara11,409
wilsoncharlotte,GOES_TO,1588,410
606q2,ASKED_IN,606,411
alexandra16,GETS,2196e#alexandra16,412
aaronjacobs,FOLLOWS,markfoster,413
paulstanley,PRESENTS,2816,414
jerome43,GOES_TO,1656,415
brookechaney,GOES_TO,2025,416
combsrichard,HOSTS,2627,417
robinsongina,GETS,2499e#robinsongina,418
2210,GIVES,2210e#christinachang,419
1149,GIVES,1149e#steven05,420
2765,GIVES,2765e#wanderson,421
1252,GIVES,1252e#michaelmorgan,422
jamesmiller,GETS,2570e#jamesmiller,423
2365,GIVES,2365e#dawn51,424
1135,GIVES,1135e#cynthiasmith,425
685,GIVES,685e#sarahkaufman,426
2125,GIVES,2125e#mckinneystacey,427
sarahstewart,GOES_TO,1278,428
1075,GIVES,1075e#robert88,429
cscott,GOES_TO,1571,430
hwallace,GETS,203e#hwallace,431
vcohen,GETS,990e#vcohen,432
cooperrachel,HOSTS,1506,433
699,GIVES,699e#bonniewilson,434
tturner,GOES_TO,1707,435
931,GIVES,931e#qnguyen,436
1786,GIVES,1786e#hortonjames,437
844,GIVES,844e#jjones,438
1242,GIVES,1242e#peckdaisy,439
1246q3,ASKED_IN,1246,440
mark71,GETS,2333e#mark71,441
ffletcher,FOLLOWS,aguirrekevin,442
1611,IN_TYPE,Talk,443
1609,GIVES,1609e#jpatterson,444
534,GIVES,534e#bradshawmichelle,445
martinlauren,GOES_TO,2205,446
beltranann,GETS,1792e#beltranann,447
williamskristy,GOES_TO,1276,448
laurahartman,GETS,2209e#laurahartman,449
marcdudley,GOES_TO,1050,450
edwardramirez,FOLLOWS,lwhitaker,451
2583,GIVES,2583e#butlerkaren,452
gravesshelley,GOES_TO,1255,453
883,GIVES,883e#rebecca16,454
jamiejohnson,GOES_TO,453,455
1997,GIVES,1997e#hoopermaria,456
824,GIVES,824e#martin39,457
tyler40,FOLLOWS,gallegosanna,458
ojones,GETS,1675e#ojones,459
1945,GIVES,1945e#courtneytorres,460
kelsey97,GETS,2089e#kelsey97,461
agordon,GETS,2620e#agordon,462
sandra71,GETS,2764e#sandra71,463
kimsandoval,FOLLOWS,sandra06,464
brownelizabeth,GOES_TO,1112,465
brianna48,GETS,2691e#brianna48,466
phicks,FOLLOWS,gdaniels,467
daniel10,FOLLOWS,thomashudson,468
cynthia00,FOLLOWS,oliviawatts,469
justinschultz,GETS,354e#justinschultz,470
924,GIVES,924e#juarezheather,471
1645,GIVES,1645e#andrew05,472
powersvanessa,GETS,285e#powersvanessa,473
juliewright,FOLLOWS,kelsey99,474
kristinaduncan,GETS,2512e#kristinaduncan,475
jstewart,GOES_TO,2946,476
john16,GOES_TO,165,477
jessica89,FOLLOWS,ianyoung,478
873,GIVES,873e#careyjohn,479
299q1,ASKED_IN,299,480
jessica79,FOLLOWS,eric67,481
courtneyguerrero,GETS,626e#courtneyguerrero,482
rwilliams,PRESENTS,503,483
981,GIVES,981e#fuenteschristopher,484
denise99,FOLLOWS,tanyamorrison,485
hpatterson,GETS,351e#hpatterson,486
1020,GIVES,1020e#joshua28,487
2817,GIVES,2817e#danielledeleon,488
xfriedman,FOLLOWS,andersonmarcus,489
1156,GIVES,1156e#joshuaknight,490
andre91,GETS,2132e#andre91,491
wwells,FOLLOWS,lisajefferson,492
btanner,GOES_TO,2745,493
262q2,ASKED_IN,262,494
tjacobs,GOES_TO,1214,495
rjones,GOES_TO,1656,496
christiansusan,GETS,932e#christiansusan,497
1248,GIVES,1248e#rebeccamurphy,498
laura85,GOES_TO,1784,499
999,GIVES,999e#vguerra,500
antonio05,GOES_TO,2948,501
1474,GIVES,1474e#huberjoshua,502
mullenwendy,GOES_TO,2833,503
avilaricardo,GETS,1392e#avilaricardo,504
hollandshannon,GOES_TO,2154,505
1336,GIVES,1336e#sarahchen,506
sbradshaw,GETS,1456e#sbradshaw,507
jenniferdaniels,GETS,2697e#jenniferdaniels,508
jared90,FOLLOWS,chase81,509
annettebender,GOES_TO,2076,510
gardnercory,GOES_TO,1497,511
sarah78,GETS,801e#sarah78,512
651q1,ASKED_IN,651,513
819,GIVES,819e#kimberly96,514
madeline40,FOLLOWS,amy51,515
karenwebb,GOES_TO,737,516
troy17,GOES_TO,1918,517
242,GIVES,242e#debra04,518
tshort,GETS,1648e#tshort,519
2473,GIVES,2473e#wmorris,520
mscott,GETS,1599e#mscott,521
ydunn,GOES_TO,2936,522
yarnold,GOES_TO,2965,523
navila,GETS,430e#navila,524
2557,GIVES,2557e#lopezwilliam,525
2615,GIVES,2615e#horneheather,526
mhouston,GETS,1378e#mhouston,527
william52,PRESENTS,2462,528
powellerin,GETS,1548e#powellerin,529
1817q1,ASKED_IN,1817,530
millerelizabeth,GETS,2707e#millerelizabeth,531
cassandrapatterson,GETS,537e#cassandrapatterson,532
1163,GIVES,1163e#bonnie17,533
campbellmatthew,GETS,898e#campbellmatthew,534
744,GIVES,744e#joneskevin,535
btorres,FOLLOWS,gerald46,536
2238,GIVES,2238e#ortizrachel,537
justin59,GOES_TO,2060,538
jeffery45,GOES_TO,2431,539
1727,GIVES,1727e#williammooney,540
2571,GIVES,2571e#david49,541
jilljones,GETS,315e#jilljones,542
shelby43,GOES_TO,2844,543
dylanponce,GETS,137e#dylanponce,544
575,GIVES,575e#danielcruz,545
1972,GIVES,1972e#kingmelanie,546
georgedavid,GOES_TO,1020,547
jameswade,PRESENTS,1476,548
1817,GIVES,1817e#xbailey,549
jordan69,GETS,154e#jordan69,550
browndaniel,FOLLOWS,eduardobarajas,551
1129,GIVES,1129e#tjones,552
tracyperez,FOLLOWS,zmorrison,553
lisa39,GETS,992e#lisa39,554
walshjeffrey,HOSTS,1244,555
brandonmassey,GOES_TO,2557,556
2646,GIVES,2646e#alison69,557
2686,GIVES,2686e#bwade,558
sjensen,FOLLOWS,qandrade,559
jenny71,FOLLOWS,yjones,560
melaniebarnes,GETS,648e#melaniebarnes,561
richardjoyce,GETS,2294e#richardjoyce,562
andrew04,GETS,1681e#andrew04,563
stephanie17,PRESENTS,210,564
paula21,GETS,44e#paula21,565
fjohnson,GETS,1242e#fjohnson,566
zwilliams,FOLLOWS,walshjeffrey,567
robertmartin,FOLLOWS,jjordan,568
lauren67,GETS,1228e#lauren67,569
1701,GIVES,1701e#joshuachavez,570
1171,GIVES,1171e#christopherclark,571
darlenegardner,GETS,2385e#darlenegardner,572
jenniferflores,GOES_TO,957,573
sanderslisa,GETS,720e#sanderslisa,574
jennifer23,FOLLOWS,ashleythompson,575
1268,GIVES,1268e#michelle61,576
justin43,GOES_TO,2224,577
2926,GIVES,2926e#jenniferhunt,578
leonchristopher,FOLLOWS,jasmine97,579
alex56,FOLLOWS,fischerbrandon,580
jeffrey16,GOES_TO,1231,581
shannon28,FOLLOWS,reginaldblake,582
755,GIVES,755e#harristodd,583
gabrielle96,FOLLOWS,donnahowell,584
2301,GIVES,2301e#melaniesherman,585
tina43,GETS,622e#tina43,586
sharon47,GOES_TO,621,587
grantcathy,GETS,1062e#grantcathy,588
1128,GIVES,1128e#spearsgregory,589
daniel15,GETS,1866e#daniel15,590
2860,GIVES,2860e#vlyons,591
xwright,GETS,994e#xwright,592
barkercarolyn,PRESENTS,2985,593
1074q1,ASKED_IN,1074,594
jordan69,GOES_TO,1671,595
jwilson,GOES_TO,655,596
loweryann,GOES_TO,680,597
1928q1,ASKED_IN,1928,598
154,GIVES,154e#smithjoshua,599
julie77,GOES_TO,1837,600
amyjohnson,FOLLOWS,brendacampos,601
fisheramber,PRESENTS,1506,602
allenjulie,GETS,394e#allenjulie,603
proctordonald,FOLLOWS,amy29,604
120,GIVES,120e#cdavis,605
sotowendy,GOES_TO,1500,606
2808,GIVES,2808e#garyschneider,607
clarkadrian,GOES_TO,1378,608
willissara,FOLLOWS,melissajackson,609
hessthomas,GOES_TO,1785,610
george84,GETS,1119e#george84,611
jonesmichael,GOES_TO,2901,612
patriciahoffman,GETS,1710e#patriciahoffman,613
1645,GIVES,1645e#brownandrew,614
julia54,GETS,482e#julia54,615
ramosalbert,FOLLOWS,spencerhampton,616
robinstanton,GOES_TO,894,617
562,GIVES,562e#lbaker,618
582,GIVES,582e#ffuller,619
1615,GIVES,1615e#odonnellronald,620
tracylittle,GOES_TO,391,621
kwilson,GETS,2297e#kwilson,622
johnsonrichard,GETS,900e#johnsonrichard,623
plong,GETS,2336e#plong,624
josephstephanie,GOES_TO,2118,625
1722,GIVES,1722e#vreed,626
deborah18,GOES_TO,2018,627
2183,GIVES,2183e#zfigueroa,628
2193,GIVES,2193e#josephhoward,629
1247,GIVES,1247e#ryan28,630
daniel15,GOES_TO,1072,631
agamble,GOES_TO,2213,632
dillon57,GETS,2337e#dillon57,633
1061,GIVES,1061e#eric54,634
jennifer45,FOLLOWS,charleswright,635
hmiller,GOES_TO,2546,636
2135,IN_TYPE,Talk,637
wagnereric,GOES_TO,2586,638
yjohnson,FOLLOWS,clamb,639
elizabeth36,GETS,1093e#elizabeth36,640
gregorymejia,FOLLOWS,udavis,641
coxrobert,FOLLOWS,robertnguyen,642
tiffany42,FOLLOWS,cruzjohn,643
arianayoung,GETS,2324e#arianayoung,644
ruizsandra,FOLLOWS,wilsonheather,645
sandra71,GETS,1241e#sandra71,646
dustinmeyer,HOSTS,1778,647
smithjames,GETS,1876e#smithjames,648
tabitha72,HOSTS,2409,649
294,GIVES,294e#jeffery96,650
gshaffer,GETS,87e#gshaffer,651
xwright,FOLLOWS,mckinneykaren,652
heatherchang,GOES_TO,528,653
jjimenez,GOES_TO,1014,654
2908,GIVES,2908e#emartinez,655
joseph10,FOLLOWS,smithjacob,656
2282,GIVES,2282e#robincallahan,657
franklinrobert,GOES_TO,2851,658
1220,GIVES,1220e#lstephens,659
mossmary,GOES_TO,789,660
knunez,FOLLOWS,vmcgee,661
2288,GIVES,2288e#kgonzalez,662
ramosalbert,GETS,2612e#ramosalbert,663
kimberlywilliams,FOLLOWS,dfox,664
mnavarro,GOES_TO,1631,665
1402,GIVES,1402e#alexandernicole,666
msimmons,GOES_TO,503,667
pearsonvicki,FOLLOWS,cooperrachel,668
ustewart,GOES_TO,2351,669
adam94,GOES_TO,1732,670
ymorales,GETS,1971e#ymorales,671
oobrien,FOLLOWS,melendezrobert,672
784,GIVES,784e#thompsonjustin,673
1035,GIVES,1035e#brendawagner,674
campbelljessica,GETS,2568e#campbelljessica,675
214,GIVES,214e#beardrenee,676
kelleremily,GETS,2958e#kelleremily,677
jonathan32,GOES_TO,2300,678
carl08,GETS,2045e#carl08,679
pamelacampbell,GETS,510e#pamelacampbell,680
johnschmidt,GETS,642e#johnschmidt,681
1859,GIVES,1859e#mitchelltiffany,682
50,GIVES,50e#wesley49,683
2007,GIVES,2007e#cscott,684
cdougherty,GETS,1145e#cdougherty,685
hdorsey,GOES_TO,2786,686
holdensarah,FOLLOWS,shawn88,687
crawfordcaroline,GETS,1232e#crawfordcaroline,688
2346,GIVES,2346e#rebeccafaulkner,689
324,GIVES,324e#erikmcdonald,690
joseph68,GETS,1195e#joseph68,691
conwaylindsay,GETS,2211e#conwaylindsay,692
cunninghamcourtney,GOES_TO,1677,693
emilyfrank,FOLLOWS,hstevens,694
vwatson,FOLLOWS,deborah87,695
gnelson,GETS,1815e#gnelson,696
jimmy34,GOES_TO,2734,697
lsummers,GOES_TO,2460,698
fvega,GETS,2188e#fvega,699
leelisa,GETS,1743e#leelisa,700
2366,GIVES,2366e#rnelson,701
johnsondavid,FOLLOWS,npotter,702
qkelley,GOES_TO,2301,703
haileyroman,GOES_TO,2305,704
shawnaferrell,GOES_TO,379,705
turnerjonathan,GOES_TO,55,706
ohall,GOES_TO,1300,707
james12,GOES_TO,419,708
wallacetiffany,GETS,170e#wallacetiffany,709
kristinaday,GETS,1975e#kristinaday,710
