event_id,name,description_about,topics_covered,materials_to_bring,start,end,building_and_room,company,speakers_instructors
11,Event 11,"Card Republican support seven three drug.
Drop fast mother shoulder sea. Lay training simply effort parent such reach.","['Psychiatry', 'Genetics', 'Scientific writing']","['hear', 'who', 'me']",2024/10/09T18:30,2024/10/09T20:30,"Unit 1250 Box 7063
DPO AA 36271",Gonzalez Group,['ytaylor']
12,Event 12,"Newspaper one expert. Rule door scientist hold exist billion represent.
Them worker girl determine minute lose news check. Open including natural.","['Biomedical imaging', 'Genetics', 'Machine Learning', 'Telecommunications']","['should', 'coach', 'pass']",2024/10/12T18:30,2024/10/12T19:30,"9506 Morris Square
West Jenniferside, NC 16715",Parks-Bruce,"['michael06', 'angelasmith', 'michael43', 'miguel48', 'hlopez']"
13,Event 13,"When sound live act but. Partner usually computer.
Then not newspaper. Player across into ready theory.","['Nuclear medicine', 'Psychiatry', 'Data science']","['defense', 'some', 'pull']",2024/10/12T22:30,2024/10/12T23:30,"737 James Hill Suite 255
Davidburgh, NC 48452",Hernandez LLC,"['walkerriley', 'shannon27', 'susan55']"
14,Event 14,"Reveal him stock apply him return behind. Society boy ground type commercial wind media. Full share cut instead green someone decision.
Staff open describe. Church others since.","['Bionic systems', 'Biosignals']","['when', 'knowledge', 'foreign']",2024/10/13T09:30,2024/10/13T11:30,"4943 White Expressway Apt. 370
South Heidi, AK 39586",Johnson PLC,"['monicarodriguez', 'kelliblack', 'kjohnson', 'joseph57', 'foxjoshua']"
15,Event 15,"Somebody anyone to create. Off tonight example.
Program half money test. Save her enter huge light.
Process star tough claim music. Yes agent outside themselves mean pass. Owner writer firm response.","['Bionic systems', 'Cell & Tissue Engineering', 'Genetics', 'Scientific writing', '3D Modelling']","['art', 'of', 'what']",2024/10/09T14:00,2024/10/09T16:00,"86548 Carroll Stravenue Suite 995
Stevenchester, CT 34104",Rodriguez-Schmidt,['rebecca38']
16,Event 16,"Question bring one cold end experience. Teach middle since director follow.
Address manage piece ask behind when. Heavy director address risk coach treatment win.","['Cleantech', 'Integrative medicine', 'Telecommunications', 'Hardware & robotics', '3D Modelling']","['civil', 'direction', 'age']",2024/10/09T09:00,2024/10/09T10:00,"653 Christopher Turnpike
Jessemouth, WY 37309",Lutz-Walton,['josephparks']
17,Event 17,In little nothing recent mouth my national. Money human mother sometimes. Science with win just pull know agreement until.,['Hardware & robotics'],"['story', 'how', 'six']",2024/10/10T10:30,2024/10/10T11:30,"553 Diane Creek Apt. 704
Chelseaview, LA 63890","Ruiz, Fitzpatrick and Lawrence","['lawrenceramirez', 'stevensmith', 'deborah29']"
18,Event 18,"Production would reality. Scientist evidence fine.
Pass traditional key where sea. Class agent already how. Myself read rich current.","['Psychiatry', 'Genetics', 'Data science']","['improve', 'site', 'certainly']",2024/10/09T13:00,2024/10/09T15:00,"3404 Kaiser Crossing
Christieview, NC 17997",Campbell LLC,"['charlesallison', 'melissa13', 'mariah65', 'dominic03']"
19,Event 19,"You front set help. Care fact cup suddenly whom thing try.
Contain she middle cell step picture. Create dark hotel authority word data human. Size professor world as drive.","['Biomedical imaging', 'Bionic systems', 'Scientific writing', 'Biomaterials']","['account', 'clear', 'magazine']",2024/10/09T20:30,2024/10/09T21:30,"3592 Farmer Square
South Wendymouth, IN 60802",Keller PLC,"['stevensmith', 'kimberlymurphy', 'juliehester', 'kathleensimmons', 'brian10']"
20,Event 20,"Officer remember two soldier. Money into at learn. Most ability research plan.
Front study gas several bar senior scene. Believe goal provide behavior more wind beat always.","['Integrative medicine', 'Telecommunications', 'Dentistry', 'Hardware & robotics', '3D Modelling']","['have', 'score', 'finally']",2024/10/13T01:00,2024/10/13T02:00,"42770 Burton Walk
Rachelport, LA 92813",Blair-Buchanan,"['david63', 'kyle26', 'rmills', 'daniel16']"
21,Event 21,Local indicate dark tonight change by sing in. Accept too choose skin later people majority. Admit bar father perhaps treatment agree choice without. Effect turn involve no.,"['Genetics', 'Psychiatry']","['still', 'focus', 'himself']",2024/10/12T16:30,2024/10/12T18:30,"54322 Donald Ferry
East Alexis, WY 85658","Lindsey, Rodgers and Savage",['omoody']
22,Event 22,"Voice decision environment analysis citizen.
Strategy table television area thousand thank peace. One simply plant agreement finally.","['Surgery', 'Ethics', '3D Printing']","['trouble', 'politics', 'level']",2024/10/14T08:30,2024/10/14T10:30,"40320 Edwards Prairie
Oconnorstad, TX 64217",Rich-Burns,"['uanderson', 'lopezelizabeth', 'howellandrea', 'joshua27']"
23,Event 23,"Natural take including. Under energy office she.
Heart boy general. Glass hear today.
Require word usually. Old heart dog western crime.","['Dentistry', 'Artificial Intelligence', 'Neuroscience', 'Scientific writing', 'Epidemics']","['realize', 'development', 'magazine']",2024/10/09T17:00,2024/10/09T19:00,"912 Rebecca Highway
North Lindseychester, LA 99241",Stewart Ltd,"['dylan02', 'sandra77', 'graykimberly']"
24,Event 24,"College range town a later today future. Soon participant top determine.
Campaign meeting community movie job effort. Music whole appear time community century.","['Exoskeletons', 'Artificial reality', 'Nuclear medicine', 'Biomaterials']","['tonight', 'less', 'hair']",2024/10/10T23:30,2024/10/11T01:30,"3963 Michael Summit Suite 054
West Michele, MS 30552","Thompson, Johnson and Adams","['xduran', 'kellywilcox', 'gerald33', 'kristina16', 'burnettandrea']"
25,Event 25,"Gun computer still drive. Positive none purpose. Sing face song material.
Sea environment this court instead. Yourself room girl few author near. Once staff produce other see.","['3D Modelling', 'Biomaterials']","['piece', 'among', 'could']",2024/10/13T13:00,2024/10/13T14:00,"7944 Wilson Drive Suite 260
Newmanhaven, MO 80346","Smith, Ray and Cruz","['nielsengrace', 'sara39', 'onorman']"
26,Event 26,Society worker push truth turn election once. Close more detail certainly site step tough. Same fire well new activity. Turn world magazine team begin.,"['Telecommunications', '3D Modelling', 'Biomedical imaging', 'Neuroscience', 'Exoskeletons']","['marriage', 'be', 'position']",2024/10/12T18:30,2024/10/12T20:30,"7183 Robert Skyway Apt. 556
Lake Matthewchester, NV 82605","Moss, Moran and Barton","['collinsleslie', 'lisagamble', 'qclark']"
27,Event 27,Hard necessary from country field wide building already. Claim recognize affect. Special them condition month left mean.,"['Aerospace medicine', 'Scientific writing', 'Nuclear medicine', 'Ethics', 'Hardware & robotics']","['best', 'cover', 'box']",2024/10/12T05:30,2024/10/12T07:30,"946 Woods Lakes
Robinfort, KS 69217","Moore, Jackson and Williams","['david44', 'ucase']"
28,Event 28,South local group thought management. Her vote article admit share strategy then. Success activity positive outside direction.,"['Data modelling', 'Neuroscience', 'Artificial reality', 'Scientific writing']","['after', 'star', 'become']",2024/10/11T00:30,2024/10/11T01:30,"88085 Gabriel Groves
Martintown, OR 86743","Colon, Willis and Cook","['keithfoster', 'jenkinsdavid', 'cruztony', 'rmccoy', 'briankhan']"
29,Event 29,Science food leave parent current sort Mrs. Ground production near surface. Hold art quite amount.,"['Psychiatry', 'Surgery', 'Artificial Intelligence']","['on', 'against', 'store']",2024/10/10T20:30,2024/10/10T21:30,"492 White Trace Apt. 947
Phillipchester, KS 00986",Mcdonald-Robinson,"['taylorjason', 'perryrobert']"
30,Event 30,"Line soldier several each onto and Mrs. Impact contain much place gun.
Age type voice you down. Spend common group ability.",['Aerospace medicine'],"['north', 'feel', 'building']",2024/10/10T04:30,2024/10/10T05:30,"1274 Austin Landing Suite 281
New Megan, MD 29061","Stein, Bennett and Holmes","['joseph33', 'cartermichael', 'stephanie17']"
31,Event 31,"Son left city. Operation sense mean pattern Congress mission court measure.
Yet moment head us age high quality recently. Professional billion from organization avoid method let. Deep one scene.","['3D Modelling', 'Data science']","['fine', 'situation', 'step']",2024/10/09T17:00,2024/10/09T18:00,"525 Christine Camp Apt. 577
North Charlesshire, DC 11275",Parks-Davis,"['huntnicole', 'tiffanymann', 'michael47', 'pittseric']"
32,Event 32,"Day available help answer whole. Financial agree network friend. Environment manage yourself face.
Return fish which. Skin and interesting improve. Ask she doctor them citizen similar.","['Aerospace medicine', '3D Printing', 'Biomaterials', 'Data science', 'Cell & Tissue Engineering']","['miss', 'hand', 'less']",2024/10/12T05:30,2024/10/12T06:30,"7639 Joseph Fall Apt. 415
Francostad, MN 45184",Rich-Waters,['tony01']
33,Event 33,"Office sell stop. Deal able protect theory continue final future. White hear moment value actually.
Writer three another wind.
Before use throw. Organization whatever find possible budget.","['Dentistry', 'Neuroscience', 'Integrative medicine']","['personal', 'probably', 'material']",2024/10/09T12:00,2024/10/09T13:00,"3477 Perkins Lock Apt. 352
New Donnabury, IN 49690",Cooper and Sons,"['uzuniga', 'william13', 'ubarnett', 'joseph79', 'rita29']"
34,Event 34,Peace of seek owner cultural major any. Send federal market finish. Daughter day figure take sell customer whatever cause.,"['Artificial reality', 'Biosignals', 'Dentistry', 'Epidemics']","['stock', 'four', 'only']",2024/10/10T22:30,2024/10/10T23:30,"USNS Johnson
FPO AP 94451","Ortiz, Rogers and Jones","['harrisonjesse', 'joel62']"
35,Event 35,"You rock like here medical raise history. Pick cup analysis me admit nearly region.
Like this trouble month these doctor work local. Interesting including past another improve low its.","['Scientific writing', 'Machine Learning']","['anything', 'hit', 'space']",2024/10/11T15:30,2024/10/11T17:30,"70061 Cole Highway
Gonzalezmouth, AS 73192","Glover, Barrett and Alexander","['hortonjames', 'patelamanda', 'rebecca37', 'gibsontimothy']"
36,Event 36,Buy newspaper budget try industry medical. Cold eight author cut agency small maybe seat. Worker every with reality bag.,"['3D Modelling', 'Hardware & robotics', 'Exoskeletons']","['third', 'difference', 'body']",2024/10/11T08:00,2024/10/11T09:00,"34440 Stacey Flat Apt. 598
Port Carlos, IL 58459","Brady, Harper and Little","['turnermelissa', 'robertwilson', 'williamswilliam', 'adamsconnie', 'adamwang']"
37,Event 37,"Page push reality floor pick nearly.
Instead leg family standard buy population environmental.
Experience doctor four crime base attorney. Exist property simple wife often above fact.","['Genetics', 'Exoskeletons']","['recent', 'environment', 'report']",2024/10/12T19:00,2024/10/12T20:00,"028 Timothy Brooks Suite 474
Lake Audreymouth, MN 51848",Williamson-Thomas,"['oguerra', 'powellmichael', 'jdonaldson']"
38,Event 38,Believe successful none whose. As including she skin national mission. Message fear final ahead.,"['Surgery', 'Psychiatry', 'Biomaterials', 'Integrative medicine', 'Biomedical imaging']","['simple', 'bill', 'second']",2024/10/10T02:30,2024/10/10T04:30,"9685 Liu Fork
Jenniferton, AK 89936","Neal, Barnes and Schmidt","['david18', 'josephbrooke', 'mitchellrobert', 'gilberthayley']"
39,Event 39,Third which while region project arrive population. Manage thing fast kind. Must similar wind particularly.,"['Aerospace medicine', 'Dentistry', '3D Printing', 'Data modelling']","['step', 'kind', 'ahead']",2024/10/11T14:30,2024/10/11T16:30,"452 Nancy Cove
West Staceyport, NH 84956",Duncan Inc,"['medinachristy', 'gregoryramirez', 'garyschneider', 'matthewtorres', 'aneal']"
40,Event 40,"Eye TV piece on room draw. Page argue hope artist son agency successful.
Glass likely after here young. Break point full alone say share.","['Epidemics', 'Biosignals', '3D Printing', 'Cleantech']","['begin', 'investment', 'threat']",2024/10/11T00:00,2024/10/11T02:00,"53592 Serrano Crescent
South Brendan, AK 55860","Martinez, Stephens and Hernandez","['jared90', 'benjamin45', 'sdavis', 'lauren54', 'michael76']"
41,Event 41,"Across senior moment physical. Though no or expert simple.
Week guy represent season man lay. Court place different kid weight the law media. Especially hotel price defense measure some.","['Data science', 'Genetics', 'Telecommunications', 'Scientific writing', 'Machine Learning']","['day', 'success', 'activity']",2024/10/11T07:00,2024/10/11T09:00,"6616 Anthony Pines
Taylorton, ND 44467",Salazar-Greene,['andrea34']
42,Event 42,Report wonder direction trip program. Government other improve say have board service shoulder. After approach stand language gun civil.,['Integrative medicine'],"['talk', 'turn', 'successful']",2024/10/13T18:30,2024/10/13T19:30,"10641 Ashley Path Apt. 306
Hilltown, FM 08142",Harris-Medina,"['robinsondaniel', 'lisa15', 'richardsonzachary', 'gonzalezdavid']"
43,Event 43,Pattern need year organization power. Manager above stand economic field mean reason. Behind billion could new.,"['Biosignals', 'Virtual reality', 'Artificial Intelligence']","['start', 'and', 'vote']",2024/10/12T14:00,2024/10/12T16:00,"46597 Timothy Mountains
Carrollmouth, NY 75316","Nichols, Willis and Rich","['melaniecruz', 'stevenfrazier', 'beankellie']"
44,Event 44,"Nature type front put else set thus. Bed it shoulder about.
Check whose well participant. Find hand tough will increase she student.","['Dentistry', 'Scientific writing', 'Epidemics']","['officer', 'each', 'interview']",2024/10/11T19:30,2024/10/11T21:30,"11413 Tracey Ridge
New Alexamouth, PA 09119","May, Butler and Lee","['fmclaughlin', 'uvillarreal']"
45,Event 45,"In feeling official offer. Protect produce loss major movie tell central.
Join candidate increase cut true set opportunity. Tree positive onto. Fight pressure can whom.","['Nuclear medicine', 'Artificial Intelligence', 'Cell & Tissue Engineering']","['study', 'more', 'current']",2024/10/09T21:00,2024/10/09T23:00,"385 Hamilton Prairie
New Timothy, MI 68136",Anderson and Sons,"['kevin91', 'shortkathy', 'caleb02']"
46,Event 46,However dog first could wall society produce. Environment yes media land available paper.,"['Biomedical imaging', 'Epidemics', 'Artificial Intelligence', 'Psychiatry']","['ago', 'grow', 'sell']",2024/10/10T15:30,2024/10/10T16:30,"8641 Robert Road
Austinton, OH 08409","Sanders, May and Peterson","['morganpenny', 'millercrystal', 'lisa55', 'eschneider', 'colinhodge']"
47,Event 47,"Decision develop eye front. Trade fill church contain wait front.
Hot traditional yard issue which market own. Including role close religious.","['Cleantech', 'Data modelling', 'Bionic systems']","['generation', 'face', 'eye']",2024/10/13T11:30,2024/10/13T12:30,"69144 Lucero Gardens
Lake Brandonland, PR 86127",Greene Ltd,"['romerolarry', 'christyperry', 'amandasanchez']"
48,Event 48,"Thousand chance find argue daughter. Senior free somebody shoulder. Mission my kid far method brother unit.
Say choose material. Into director speak school him. Everyone education beat along.","['3D Printing', 'Scientific writing']","['role', 'decision', 'main']",2024/10/13T12:00,2024/10/13T13:00,"PSC 1144, Box 0745
APO AA 14728",Heath Ltd,['granterica']
49,Event 49,"To security series rock fly. Kitchen card economy or control finally. Impact out ball drop despite various doctor series.
Prepare much build suggest. Specific task conference chance rule area.",['Telecommunications'],"['indeed', 'third', 'audience']",2024/10/09T21:30,2024/10/09T23:30,"976 Jessica Run Suite 583
Heidiborough, GA 11764","Scott, Crawford and May","['samanthastephens', 'qramos']"
50,Event 50,"Person other accept. Although strong design wrong lawyer remember recently.
Now identify big produce despite future. Go when safe they.","['3D Printing', 'Artificial reality', 'Genetics', 'Exoskeletons', 'Data science']","['dinner', 'feel', 'late']",2024/10/12T14:30,2024/10/12T15:30,"31090 Pope Ridge
Ballland, KY 36933",Hodge and Sons,['yeseniafox']
51,Event 51,Likely want prove raise beyond. Smile service machine activity many. Drug decade two door according word today.,"['Neuroscience', '3D Modelling', 'Aerospace medicine', 'Biomedical imaging', 'Exoskeletons']","['cost', 'indicate', 'thought']",2024/10/09T13:30,2024/10/09T15:30,"079 Moore Locks Suite 719
Curtisview, UT 25082","Morgan, Nguyen and Vaughn","['earl99', 'aaronjacobs', 'teresa78', 'perezmatthew', 'alvarezchristopher']"
52,Event 52,End I second shake. Everybody stage book property recognize result serious. Magazine sometimes from anything party continue. Same his far society chance subject heart.,"['3D Modelling', 'Epidemics', 'Data modelling', 'Genetics', '3D Printing']","['current', 'choose', 'population']",2024/10/09T09:30,2024/10/09T10:30,"USNS Reyes
FPO AA 87452",Conway-Jones,"['garciatimothy', 'gravesjason', 'delgadomichael', 'michaelcox']"
53,Event 53,Deep law message foreign together modern discover summer. From charge nearly network shake. Listen for add form relate order.,"['Biomaterials', 'Cleantech', 'Psychiatry']","['generation', 'help', 'group']",2024/10/09T20:30,2024/10/09T22:30,"4598 Anthony Ville
Diazborough, ID 92565","Crawford, Forbes and Gallagher","['joneschristina', 'torresnicholas', 'duranmallory', 'matthew85', 'tprince']"
54,Event 54,Success TV collection behavior morning. Dream final family outside. Clearly media also according here.,"['Biosignals', 'Neuroscience', 'Cell & Tissue Engineering', 'Machine Learning', 'Nuclear medicine']","['drug', 'suggest', 'fall']",2024/10/14T07:30,2024/10/14T08:30,"617 Smith Islands
North Charlesbury, UT 06672",Murray Ltd,['michaelwong']
55,Event 55,Young practice act note age by. Leader agree house music particularly bit its already. Million red nice step billion. Too item care share bag director.,"['Biosignals', 'Aerospace medicine']","['again', 'everyone', 'east']",2024/10/09T11:30,2024/10/09T13:30,"42717 Sherri Keys
Stevenmouth, AL 44671",Kent-Gray,"['erikroberts', 'matthew33']"
56,Event 56,Again type little power. Coach possible join marriage guy officer. Medical hair much soon statement wall compare.,['Virtual reality'],"['tree', 'article', 'after']",2024/10/10T05:00,2024/10/10T06:00,"Unit 3343 Box 5762
DPO AP 52257",Duffy Inc,"['smithmichael', 'justinwong', 'youngalice']"
57,Event 57,Conference site beautiful property sit rest us dark. Drive price forward ahead. Already home party term should interview think.,"['Nuclear medicine', 'Biomaterials', 'Bionic systems', 'Dentistry', 'Epidemics']","['growth', 'my', 'particularly']",2024/10/12T11:30,2024/10/12T13:30,"543 David Turnpike Apt. 375
Scottland, TN 32625","Duran, Simpson and Rodriguez","['thomaslewis', 'fisherhaley', 'hellis', 'shanesutton', 'cynthia00']"
58,Event 58,"Already when long develop like. Moment door yeah shoulder court possible. Walk boy why painting offer occur figure.
Find your pass health full story true. Explain drug entire have player pattern.",['Nuclear medicine'],"['service', 'goal', 'institution']",2024/10/10T23:30,2024/10/11T00:30,"515 David Coves Apt. 507
West Kristopher, SD 29558","Barnes, Welch and Smith","['jamesmontoya', 'vanessaedwards', 'olee', 'riverabradley']"
59,Event 59,"Player response above college explain bit. Support raise people court garden new newspaper.
Factor others speech. Include again admit oil matter.","['Cell & Tissue Engineering', 'Surgery']","['skill', 'can', 'science']",2024/10/14T02:30,2024/10/14T04:30,"95869 Heather Rapid Apt. 927
Ashleeborough, AR 22251","Ruiz, Nunez and Jackson","['tturner', 'hammondautumn', 'jennifer25', 'simscharlene']"
60,Event 60,"Teacher church month serious trial. Development purpose ask among determine. Skin together pull wide.
Answer which to red address end.",['Bionic systems'],"['member', 'campaign', 'future']",2024/10/11T03:00,2024/10/11T04:00,"Unit 8777 Box 0044
DPO AP 05446",James Inc,"['vvillarreal', 'rodney09']"
61,Event 61,Right great argue moment. Easy high it production listen heavy nice body. Describe and network focus break general source.,"['Aerospace medicine', '3D Modelling', 'Nuclear medicine', 'Artificial Intelligence', 'Dentistry']","['us', 'class', 'still']",2024/10/12T20:30,2024/10/12T22:30,"542 Russell Glens Suite 028
Lorraineview, MN 99369","Jenkins, Love and Sandoval",['kfranklin']
62,Event 62,"Investment according town way bag kid page. Contain happy occur pretty indeed use.
Always information really want. Itself enter few movie sing. Use end room determine.","['Dentistry', 'Nuclear medicine', 'Genetics', 'Exoskeletons']","['I', 'certain', 'year']",2024/10/13T19:30,2024/10/13T20:30,"03439 George Circle
Josephland, LA 36420",Hoffman-Miller,"['vrandall', 'jennifer79', 'crawfordcaroline', 'bradleymcgrath']"
63,Event 63,Energy Mrs cold whether mother strong feeling. Amount Republican tend leg window somebody tax.,"['Psychiatry', 'Neuroscience', 'Hardware & robotics', 'Scientific writing']","['imagine', 'approach', 'must']",2024/10/13T05:00,2024/10/13T07:00,"9995 Buck Ranch Apt. 553
Port Jenniferhaven, NY 26880",Santos-Perry,['debrawood']
64,Event 64,"Ball southern to final. Team eight fire school.
Shake check in soon fine board be. Contain career test agreement heavy month.","['Scientific writing', 'Artificial Intelligence']","['region', 'morning', 'thank']",2024/10/11T04:00,2024/10/11T06:00,"6802 Joseph Fort
Michaelberg, WV 53391",Woods-Chan,['jwilliams']
65,Event 65,"Everything personal make hold arm.
Writer could agency leader put management. Cover eight all role him see word future.
Serious detail everything yes network so our. Also full reveal.","['Ethics', 'Genetics', 'Scientific writing', 'Nuclear medicine']","['teacher', 'wonder', 'subject']",2024/10/11T20:00,2024/10/11T22:00,"0534 Campbell Island Apt. 499
Kennethmouth, AL 46552",Jackson-Ramirez,"['wendymartin', 'wjohnson', 'amy75', 'jpena', 'sandramitchell']"
66,Event 66,"Fear force such ok heavy mouth.
Reality sound animal natural explain range second. Always miss radio though. Specific tell table.
In almost wide off.","['Exoskeletons', 'Telecommunications']","['clearly', 'guy', 'interview']",2024/10/12T03:30,2024/10/12T04:30,"4331 Wilson Oval
Port Nathan, AL 92691","Rogers, Smith and Brooks",['justinschultz']
67,Event 67,"What individual poor child. Realize site seem in crime up type.
Wall police pressure point should it middle. Woman among itself husband plant. Skin job decision resource beat difficult member.","['Biosignals', 'Machine Learning']","['cup', 'detail', 'send']",2024/10/10T13:00,2024/10/10T14:00,"8987 Porter Valleys
Stewartview, IN 24021","Blackburn, Chan and Cox","['rachelcastro', 'silvaadam']"
68,Event 68,"Take me something and organization again political. Clear ago moment pick hospital.
Large idea dark dark admit. Into among successful act.","['Dentistry', 'Artificial reality', 'Surgery']","['energy', 'painting', 'become']",2024/10/12T17:00,2024/10/12T18:00,"7790 White Corner
New Shirley, MO 73277",Acevedo and Sons,"['fburgess', 'maria06']"
69,Event 69,"Cost happy ground tax group. Us not name make finally. Difference school such pay work heart.
Strong would arm recognize military. Third trip across simply evidence.","['Ethics', 'Surgery', 'Nuclear medicine', 'Cell & Tissue Engineering', '3D Modelling']","['later', 'media', 'eight']",2024/10/10T20:00,2024/10/10T21:00,"374 Katherine Rest Suite 807
Lindaville, GU 74500",Mack and Sons,"['gregoryroberts', 'heatherholden', 'ricky46', 'michelle25']"
70,Event 70,Smile here might new interview song my. Identify behavior design business relate. Trip drive include wonder lead international between.,"['Ethics', 'Cell & Tissue Engineering', 'Data modelling', 'Dentistry']","['about', 'nature', 'book']",2024/10/10T13:30,2024/10/10T14:30,"5418 Townsend Centers Apt. 023
New Timothy, VI 71677",Butler-Mejia,['nicholas72']
71,Event 71,"Camera southern four former.
Foot experience remain school. Series attention candidate knowledge during blood. Kid help animal stay seek role big.","['Psychiatry', 'Telecommunications', 'Nuclear medicine', 'Epidemics']","['stand', 'rise', 'current']",2024/10/13T19:00,2024/10/13T21:00,"5912 Chan Fords
Dustinshire, HI 71473","Barnett, Lawrence and Harmon","['carpentertina', 'brownjames', 'mark14', 'carrbenjamin', 'pamela56']"
72,Event 72,"Law attorney take coach growth truth. Wall poor well tough if.
Education dream nor think remain customer quality. Star send skill this. Artist step especially cup.","['Surgery', 'Bionic systems', 'Neuroscience', '3D Printing', 'Data science']","['Mr', 'why', 'hundred']",2024/10/11T20:00,2024/10/11T22:00,"194 Phillips Junctions
Wyatthaven, UT 87027",Alvarado-Harris,"['madeline72', 'jenniferhunt']"
73,Event 73,"Four join rest current for. Design edge stop focus concern kitchen difficult. Cell my home song.
Policy difficult magazine success tough. Officer power tough impact add develop. Example gas far try.","['Dentistry', 'Artificial reality', 'Aerospace medicine', 'Neuroscience']","['including', 'successful', 'sister']",2024/10/10T11:30,2024/10/10T13:30,"31151 Debra Point Suite 991
North Katieport, PA 47108","Garcia, Sanders and Walker","['patrickmiller', 'flee', 'ifuller', 'wsalas', 'josephparks']"
74,Event 74,Ability particular there. Sign lawyer cell capital possible think. To certain show meet citizen painting. Really option paper art sport employee none movement.,"['Machine Learning', 'Cell & Tissue Engineering', 'Ethics', 'Hardware & robotics', 'Biomaterials']","['computer', 'military', 'alone']",2024/10/12T19:00,2024/10/12T20:00,"7611 Diaz Crescent Apt. 079
Whiteton, TX 16555",Friedman LLC,['onealjoshua']
75,Event 75,"Than walk hotel continue then they in. Past safe agree everyone even eye.
From short law necessary author. Check source sound red oil price.","['Surgery', 'Data modelling', 'Scientific writing']","['my', 'travel', 'mention']",2024/10/09T17:00,2024/10/09T18:00,"625 Brown River
Weaverland, MP 59000","Burke, Byrd and Leonard","['kramerjose', 'castillozachary', 'michael66']"
76,Event 76,Budget surface themselves much language show. Bank bill tonight. Begin method similar main.,"['Telecommunications', 'Ethics', 'Neuroscience', 'Aerospace medicine']","['so', 'let', 'response']",2024/10/11T20:00,2024/10/11T22:00,"8614 Farley Spring Suite 850
Port Cameron, GA 15265","Howard, Stephens and Crawford",['kyle50']
